group	sci	key	reason	zh_candidates
marine	Caperea marginata	2440310	no-wiki	小露脊鲸
marine	Inia geoffrensis	2440314	no-wiki	亚马逊河豚
marine	Indopacetus pacificus	2440391	no-wiki	朗氏喙鲸
marine	Mesoplodon europaeus	2440397	no-wiki	杰氏中喙鲸
marine	Phocoena spinipinnis	2440666	no-wiki	棘鳍鼠海豚
marine	Eubalaena japonica	9747921	no-wiki	北太平洋露脊鲸
marine	Pseudoginglymostoma brevicaudatum	2417493	no-wiki	拟铰口鲨|短尾铰口鲨
marine	Rhincodon typus	2417522	no-wiki	豆腐鲨
marine	Pseudocarcharias kamoharai	2420711	no-wiki	蒲原氏拟锥齿鲨|鳄鲛|黑棘鲛
marine	Isurus paucus	5216258	no-wiki	烟仔沙|长臂灰鲭鲛|长臂鲭鲨|马加鲨
marine	Cirrhoscyllium formosanum	2417489	no-wiki	台湾喉须鲨|台湾橙黄鲨
marine	Diplobatis ommata	2417725	no-wiki	双电鳐
marine	Benthobatis yangi	2417733	no-wiki	杨氏深海电鲼|杨氏深海电鳐
marine	Narcine prodorsalis	2417751	no-wiki	前背双鳍电鲼|前背双鳍电鳐|前背木铲电鲼|花痹
marine	Narcine brevilabiata	2417767	no-wiki	短唇双鳍电鲼|短唇双鳍电鳐
marine	Rhizoprionodon acutus	2417866	no-wiki	尖吻斜锯牙鲨|尖头曲齿鲛|尖头曲齿鲨
marine	Carcharhinus plumbeus	2418009	no-wiki	铅灰真鲨|高鳍白眼鲛
marine	Carcharhinus amboinensis	2418028	all-generic	高鳍真鲨
marine	Carcharhinus leiodon	2418038	no-wiki	光齿真鲨
marine	Carcharhinus falciformis	2418095	no-wiki	圆头鲨|平滑白眼鲛|镰状真鲨
marine	Iago garricki	2418280	no-wiki	长吻前鳍皱唇鲨
marine	Apristurus herklotsi	2418439	no-wiki	霍氏篦鲨
marine	Apristurus saldanha	2418455	no-wiki	南非光尾鲨
marine	Apristurus gibbosus	2418467	no-wiki	驼背篦鲨
marine	Cephaloscyllium sufflans	2418626	no-wiki	南非绒毛鲨
marine	Pseudotriakis microdon	2418748	no-wiki	哑巴鲛|小齿拟皱唇鲨|拟猫鲛
marine	Zalophus wollebaeki	2433460	no-wiki	加拉帕戈海狮
marine	Plesiobatis daviesi	2418899	all-generic	鲂仔
marine	Rhynchobatus palpebratus	2418938	no-wiki	瞬眼尖犁头鳐
marine	Rhynchobatus australiae	2418942	no-wiki	南方龙纹鲼
marine	Platyrhinoidis triseriata	2418958	no-wiki	棘背拟团扇鳐
